# ContigOrdering file.  This file represents a ContigOrdering object, which describes an ordering of contigs within a Proximo cluster.
# See ContigOrdering.h for more documentation.
#
# Important numbers:
#	N_contigs	993	(Number of contigs in the input cluster)
#	N_contigs_used	993	(Number of contigs ordered by this ordering)
#	has_Q_scores	1	(Boolean: has orientation quality scores?)
#	has_gaps	0	(Boolean: have gap sizes between contigs been estimated?)
#
# Columns:
#contig_ID(local)	contig_name	contig_rc	orientation_Q_score	gap_size_after_contig
721	3967744	1	1.64812	.
732	4059209	1	3.36002	.
722	3967745	0	9.4594	.
379	512401	1	29.1812	.
145	464391	0	11.0062	.
121	445786	1	12.7759	.
94	438615	1	23.8812	.
872	6590507	1	6.22252	.
873	6590548	1	0.884832	.
898	6894168	1	7.56474	.
899	6894171	1	6.55578	.
504	607466	1	7.26691	.
503	607393	0	10.9831	.
415	515980	0	26.973	.
234	496341	0	6.15505	.
802	6309164	1	6.75261	.
803	6309301	1	13.5499	.
865	6549055	1	1.6257	.
862	6544647	1	34.1614	.
46	294685	0	23.9765	.
290	504165	1	7.74204	.
646	2725850	1	41.1487	.
647	2725855	1	11.4408	.
13	1108	1	1.0076	.
641	2627471	0	1.33102	.
640	2627438	0	4.00891	.
665	3140843	0	2.86509	.
652	2783443	1	1.47661	.
626	2353710	1	1.376	.
653	2783454	0	3.4842	.
625	2353699	0	7.43165	.
475	520602	0	42.8069	.
157	473139	1	187.303	.
177	482162	1	89.7416	.
249	498773	0	86.4941	.
152	471305	0	14.8693	.
99	440799	0	34.915	.
76	427498	1	16.9103	.
149	469953	1	69.5595	.
488	521466	1	8.41135	.
212	492111	1	1.93597	.
682	3453230	1	12.6023	.
676	3348336	1	4.98975	.
6	714	1	14.8794	.
18	1287	1	28.2594	.
792	6230679	0	1.67655	.
793	6233076	0	2.91895	.
791	6230669	0	7.71803	.
794	6233086	0	6.03803	.
728	4032501	0	1.63677	.
214	492278	0	1.90655	.
729	4032517	0	0.698238	.
725	4011702	0	0	.
627	2387064	1	9.77313	.
629	2419931	0	6.37608	.
669	3221085	1	8.68553	.
670	3221099	1	18.7329	.
297	504664	0	154.207	.
195	487612	0	39.4608	.
38	283723	1	49.6099	.
178	482780	0	56.6778	.
769	5196438	1	1.16313	.
774	5478198	1	1.39496	.
767	5196424	0	1.92699	.
775	5478210	0	0.492514	.
768	5196436	0	1.2717	.
773	5478196	0	2.35208	.
633	2448612	1	2.25012	.
634	2448637	1	15.4183	.
236	496838	0	2.86805	.
199	490468	0	116.295	.
270	502028	1	93.7741	.
275	502328	1	76.5585	.
2	550	0	131.316	.
932	7071422	1	19.5301	.
933	7071432	1	3.25054	.
900	6894991	0	0	.
948	7121524	0	48.8913	.
949	7121699	0	45.5119	.
950	7121705	1	102.427	.
947	7121518	1	102.575	.
375	511632	1	125.642	.
320	507004	1	80.9181	.
11	1042	1	47.7994	.
24	1433	1	61.9362	.
731	4041022	1	7.62369	.
730	4040987	1	12.1519	.
874	6590571	0	0.399784	.
871	6590484	0	2.42669	.
376	511766	1	245.035	.
93	438270	0	8.24995	.
776	5478212	0	3.38323	.
766	5196422	0	2.15452	.
361	510056	0	3.03117	.
590	1608505	0	55.9874	.
589	1608504	0	54.6072	.
374	511617	1	89.2538	.
283	503270	0	122.411	.
155	472208	1	63.8632	.
381	512596	0	58.1111	.
663	3127550	0	0	.
440	518358	1	4.22032	.
133	447493	1	199.09	.
305	505530	0	282.876	.
934	7077200	0	11.6131	.
443	518618	0	7.38063	.
501	586840	1	48.7433	.
502	586841	1	18.8624	.
480	520820	0	2371.85	.
426	516997	1	1701.4	.
244	498247	0	64.7012	.
403	514560	1	7.02565	.
392	513376	0	333.022	.
34	281687	0	18.4039	.
561	1359643	0	1.21868	.
563	1375241	1	1.00814	.
562	1375240	0	1.20592	.
560	1359642	0	0.674645	.
951	7121712	0	20.1301	.
50	317309	0	4.21356	.
952	7121721	0	39.6427	.
906	6932091	1	6.34053	.
286	503498	1	33.4799	.
473	520543	1	134.998	.
472	520497	0	47.3188	.
129	446599	1	17.8022	.
208	491535	1	26.4117	.
254	499362	0	6.89412	.
341	508581	1	14.2956	.
953	7126997	0	35.4164	.
680	3446467	0	0	.
97	439345	0	2.56568	.
449	519069	1	50.7877	.
702	3697967	0	5.02152	.
276	502743	1	1.23888	.
701	3697966	0	3.83834	.
894	6738045	1	21.5665	.
424	516912	1	24.2926	.
972	7179645	1	64.4872	.
971	7179643	1	76.0935	.
546	1079720	0	0	.
907	6976068	1	11.6799	.
432	517672	1	69.3067	.
465	519945	1	296.64	.
130	446662	0	554.837	.
48	299300	1	9.96829	.
262	500426	0	0.353848	.
453	519229	1	53.2179	.
136	454271	1	14.7701	.
987	7336849	0	1.40186	.
990	7341306	1	0.78965	.
326	507405	0	0	.
749	4365858	0	5.32676	.
167	479334	0	0.0716519	.
750	4365859	0	7.63874	.
809	6350632	1	23.2662	.
808	6350630	0	29.6338	.
677	3370641	1	6.32726	.
741	4215592	0	0.588609	.
186	484512	1	0.987334	.
468	520306	1	41.5437	.
315	506392	0	119.182	.
430	517556	0	42.7392	.
657	2869185	0	0.606517	.
945	7117447	1	5.77666	.
499	537765	1	6.9537	.
547	1082340	0	0.183167	.
143	463950	0	34.4784	.
307	505717	1	279.993	.
92	438156	0	48.8055	.
168	479398	0	249.17	.
116	443926	0	57.0552	.
166	479147	0	2.95815	.
977	7195161	1	137.564	.
976	7195144	1	139.027	.
555	1242568	0	31.6012	.
248	498688	0	12.3926	.
556	1242569	0	10.1969	.
242	498091	1	10.8725	.
462	519726	1	36.933	.
744	4266713	1	5.63329	.
658	2891914	0	0.838403	.
656	2869184	1	2.88822	.
659	2891915	1	1.99579	.
970	7179642	1	53.3008	.
67	375616	0	246.34	.
224	493692	1	165.12	.
742	4215593	1	26.7486	.
973	7179647	1	0.14603	.
172	481158	0	17.9296	.
83	431856	1	27.1221	.
811	6355676	0	15.1284	.
896	6787452	1	7.45097	.
810	6355649	1	10.5771	.
895	6787425	0	9.58745	.
250	498839	0	73.809	.
363	510337	1	51.5002	.
231	495811	0	5.84313	.
22	1347	0	0	.
783	5654830	0	0.494862	.
162	476132	0	42.5329	.
210	491998	0	25.1727	.
228	495509	0	27.6909	.
820	6397590	0	6.54576	.
703	3728160	1	0.300426	.
696	3603751	1	0.53287	.
695	3603750	1	1.21658	.
704	3728161	1	0.910021	.
698	3653974	0	5.93015	.
356	509726	0	23.1465	.
697	3653952	0	108.345	.
68	376080	0	0	.
73	377777	1	10.9274	.
336	507861	0	15.9431	.
268	501853	0	55.3167	.
367	510675	0	303.763	.
687	3559674	0	2.03069	.
674	3344488	0	12.9869	.
688	3559692	0	18.5823	.
675	3344506	0	2.0575	.
490	521841	0	29.9741	.
523	752908	0	11.5897	.
524	752909	1	33.05	.
369	510998	0	35.3682	.
281	503181	1	100.655	.
447	518912	1	145.905	.
238	497228	0	27.5161	.
223	493465	0	19.9487	.
845	6494523	0	0.705911	.
963	7161773	0	0.086646	.
8	787	0	182.187	.
419	516453	1	51.187	.
288	503698	1	78.284	.
780	5559127	0	30.1709	.
770	5308486	0	2.08965	.
147	465440	0	106.854	.
467	520178	1	85.5816	.
796	6233103	0	5.15775	.
795	6233093	1	3.84076	.
790	6230662	0	1.45771	.
71	377601	0	62.765	.
398	514041	0	177.414	.
377	511948	1	19.7629	.
572	1418940	0	13.2433	.
402	514546	0	0.369246	.
573	1418941	0	4.43752	.
771	5308487	1	3.06675	.
450	519111	0	12.6208	.
779	5559126	1	15.0644	.
571	1407383	1	37.1061	.
570	1407382	1	68.4215	.
588	1604485	1	16.5025	.
587	1604484	1	0.295938	.
98	439857	1	3.14054	.
404	514612	1	13.2981	.
201	490725	1	85.8423	.
930	7064932	1	71.7799	.
931	7064934	0	22.3929	.
710	3783870	0	20.1613	.
709	3783843	1	30.7947	.
693	3603083	1	17.8841	.
694	3603110	0	7.13469	.
124	446231	0	17.9871	.
7	730	0	159.294	.
183	484033	1	18.1752	.
190	486355	1	12.2113	.
456	519563	1	16.6388	.
36	282984	1	2.81306	.
21	1334	1	90.8056	.
445	518856	0	42.967	.
984	7218308	0	23.5617	.
983	7218307	0	91.5236	.
482	520891	1	16.5995	.
327	507413	1	19.9841	.
417	516234	0	49.692	.
185	484339	1	21.0096	.
584	1600374	1	1.30078	.
715	3880279	0	8.70229	.
714	3880278	0	10.2956	.
390	513248	0	18.4012	.
986	7220519	1	12.8647	.
311	506031	0	1.21553	.
278	502907	0	0.733854	.
992	7456333	1	11.9225	.
991	7456332	0	8.78839	.
284	503281	0	3.5752	.
255	499511	1	9.35379	.
763	4981794	0	76.1181	.
785	5808632	0	67.8707	.
762	4981772	1	55.215	.
786	5808654	1	41.7099	.
481	520824	0	3.03163	.
355	509702	1	19.5086	.
265	500992	0	1807.68	.
266	501008	1	1613.15	.
141	463252	1	16.5245	.
55	335497	0	61.3452	.
478	520713	0	284.283	.
211	492057	1	134.806	.
406	514764	0	82.4923	.
975	7191292	0	15.0929	.
974	7191102	0	37.2263	.
15	1178	0	369.997	.
660	2959191	0	14.3574	.
553	1242411	1	6.09783	.
554	1242490	1	16.0391	.
81	431491	0	31.5419	.
291	504291	1	221.839	.
397	513877	1	110.238	.
80	431299	0	0	.
830	6464681	0	0.312959	.
831	6464683	0	0.320503	.
824	6407649	0	0	.
113	443673	1	51.7087	.
84	432623	0	31.9283	.
823	6407593	1	9.15892	.
378	512089	0	4.90966	.
818	6382087	0	17.9875	.
822	6407557	0	97.2082	.
816	6382050	0	83.0918	.
821	6407556	1	61.4586	.
817	6382051	1	77.2793	.
819	6382143	0	0.793079	.
548	1192930	1	8.92225	.
751	4394602	0	22.1989	.
752	4394614	0	10.6439	.
358	509904	0	1.72574	.
408	515114	0	15.7527	.
812	6376780	1	18.3349	.
813	6376783	1	2.82874	.
110	442269	0	0	.
412	515668	0	750.715	.
108	441900	1	355.648	.
435	517767	1	180.381	.
154	471496	0	0.125472	.
454	519427	1	2.82343	.
577	1470323	1	3.28269	.
576	1470322	1	8.30464	.
359	509990	1	12.359	.
866	6549161	1	0.311742	.
184	484203	1	38.9105	.
175	481669	1	25.6652	.
421	516714	1	149.023	.
438	518205	0	0	.
433	517688	1	49.0481	.
35	282353	1	24.7577	.
148	468552	0	3.80716	.
484	521071	0	11.2931	.
323	507130	0	58.6594	.
3	555	0	74.1978	.
207	491477	1	35.9153	.
106	441731	0	176.785	.
384	512859	0	89.8295	.
797	6253647	1	2.12761	.
205	491194	0	0	.
427	517084	1	84.389	.
104	441504	1	90.4496	.
44	294341	1	3.31907	.
9	845	0	145.086	.
909	6979176	0	2.0283	.
908	6979174	0	22.6056	.
910	6979177	0	65.8088	.
489	521473	0	2.47434	.
348	508995	0	63.0081	.
452	519227	0	350.595	.
66	372496	0	0.828035	.
655	2787232	1	2.1733	.
574	1450937	0	1.68923	.
828	6430020	0	0.421858	.
575	1450948	1	0.171611	.
65	369652	1	34.6457	.
4	607	0	65.2946	.
150	470671	1	24.2195	.
318	506767	1	8.6648	.
391	513348	0	0	.
512	682879	0	4.91742	.
514	682965	1	4.58279	.
513	682952	0	0.110778	.
471	520491	0	131.168	.
235	496403	1	39.9146	.
429	517326	0	63.0274	.
342	508610	1	149.817	.
836	6470785	1	16.6114	.
853	6505309	0	26.0022	.
852	6505308	1	4.60038	.
317	506534	0	8.09116	.
221	493427	0	59.5943	.
942	7107607	0	3.2307	.
938	7085092	0	4.39368	.
941	7107581	1	8.95493	.
59	364132	1	9.57008	.
23	1392	1	6.54911	.
25	1463	1	228.31	.
338	508376	0	181.8	.
345	508835	1	330.323	.
89	437768	0	7.46758	.
989	7341176	1	0.300201	.
988	7336978	1	5.41042	.
474	520586	1	27.8829	.
200	490624	1	16.9399	.
225	494273	1	46.6911	.
425	516991	0	28.186	.
645	2713686	1	0.47162	.
75	426977	1	11.1938	.
464	519890	0	4.27611	.
740	4090475	1	12.46	.
739	4090474	1	2.11215	.
41	284532	1	3.35403	.
628	2419930	0	1.29173	.
256	499679	0	6.92461	.
72	377634	1	16.2872	.
294	504353	1	28.3537	.
322	507108	0	41.9345	.
12	1089	0	126.564	.
444	518797	0	30.8881	.
540	993051	1	9.55745	.
539	993050	0	4.98986	.
538	993049	1	0.225067	.
279	502923	1	47.0503	.
26	1484	0	151.875	.
300	504986	1	9.01766	.
142	463289	0	3.5475	.
760	4811032	1	31.8162	.
328	507492	1	38.6893	.
380	512567	0	132.762	.
581	1577778	1	6.18948	.
668	3157473	1	6.3033	.
905	6927836	1	0.452394	.
901	6919498	0	0.12021	.
479	520753	1	87.4775	.
174	481612	0	59.7111	.
541	999554	0	7.14811	.
884	6658627	0	33.5483	.
883	6658626	0	44.3728	.
885	6658629	0	35.5093	.
117	444096	1	6.64373	.
362	510274	1	98.9906	.
109	442113	0	60.0054	.
153	471492	0	246.338	.
911	6980032	0	55.0152	.
914	6982065	0	6.3366	.
913	6982061	0	1.12434	.
912	6980147	1	3.18385	.
216	492464	0	12.4674	.
102	441112	1	170.079	.
258	500141	1	231.326	.
302	505186	1	12.0295	.
491	521863	1	32.7406	.
182	483736	1	9.81728	.
935	7077201	1	14.6173	.
842	6477523	0	0.921999	.
840	6477519	1	32.9995	.
246	498383	1	39.5424	.
158	474809	0	20.2373	.
788	5949927	0	3.28381	.
789	6150821	1	4.8194	.
787	5949903	1	1.59432	.
526	904447	0	15.3813	.
527	906030	0	7.76714	.
528	906031	0	21.309	.
525	904446	0	30.1623	.
620	2223653	1	3.46044	.
616	2098495	0	2.97454	.
14	1164	0	111.95	.
834	6467910	0	19.7636	.
835	6467911	0	0.462108	.
455	519488	0	12.7912	.
781	5589284	0	1.53429	.
418	516398	1	32.0563	.
91	438151	0	26.4003	.
203	491026	1	63.3459	.
232	495905	1	51.2357	.
274	502272	0	34.7606	.
137	455589	1	21.1677	.
441	518470	0	0.890314	.
891	6707884	0	64.0539	.
839	6476514	1	72.5383	.
892	6707885	1	17.644	.
537	993048	0	1.83939	.
534	988917	0	8.29247	.
533	988916	1	12.9198	.
536	988919	1	8.0155	.
535	988918	0	5.25472	.
247	498647	0	68.5172	.
17	1237	0	322.274	.
122	445829	1	46.4946	.
173	481527	1	2.13089	.
922	7018420	1	6.5571	.
915	7009260	1	5.20691	.
921	7018400	1	2.85783	.
916	7009278	1	8.91092	.
280	503069	0	2.0511	.
500	577762	1	6.58903	.
90	437807	1	16.2108	.
169	480012	1	20.4873	.
886	6667292	0	19.6224	.
887	6667296	0	54.0879	.
888	6667297	1	66.5616	.
962	7154589	1	0.0281992	.
1	467	1	5.86241	.
827	6430019	1	8.0231	.
826	6430013	0	1.66035	.
825	6430011	1	40.3362	.
654	2787221	0	0.656019	.
492	521911	1	2.94813	.
431	517581	0	35.6457	.
350	509099	1	80.5632	.
314	506377	0	23.0119	.
39	283783	1	0.941281	.
161	475820	1	173.415	.
343	508778	1	41.8743	.
649	2733098	1	22.5517	.
648	2733092	1	5.92709	.
841	6477522	0	8.15211	.
394	513747	0	27.4136	.
209	491843	1	1.05402	.
51	317349	1	15.4965	.
580	1483709	1	1.0857	.
319	506793	0	116.644	.
171	480667	1	1.4014	.
101	440959	1	299.194	.
306	505557	0	230.672	.
57	335683	0	18.7885	.
493	522042	0	10.5939	.
428	517240	0	0	.
727	4022735	1	1.88261	.
720	3962112	1	4.31041	.
861	6544541	0	1.06228	.
477	520688	0	19.4986	.
347	508884	1	52.3445	.
79	431266	0	9.44183	.
463	519765	1	5.44867	.
530	930276	1	2.58432	.
617	2164620	1	4.68462	.
618	2164664	0	7.04176	.
529	930233	0	8.78347	.
120	445735	0	28.3534	.
62	366582	0	53.3073	.
40	284480	0	5.88304	.
943	7110252	1	17.9888	.
944	7110253	1	6.91528	.
622	2323258	1	3.66912	.
466	520016	1	216.165	.
227	494988	1	116.477	.
54	335479	1	103.866	.
64	368978	1	21.8827	.
882	6648147	0	1.2988	.
879	6648142	0	13.0789	.
483	521059	1	0.442334	.
880	6648143	0	11.0025	.
881	6648146	0	2.68869	.
260	500414	0	48.8852	.
337	507995	1	173.224	.
